All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b6,2.0815155261920836e-05,6.0255490502375e-06,3.793445001873611e-06,3.063414931403195e-05,12.774311933433637
b7,2.464544737622857e-05,6.153847696990477e-06,3.7588201285825394e-06,3.4558115201801586e-05,12.799220809480175
b8,2.9524770798187505e-05,6.456610779958928e-06,3.7529098335651794e-06,3.973429141171161e-05,12.826709357323125
b9,3.338100606690476e-05,7.088747917678571e-06,4.350951510584325e-06,4.482070549516766e-05,12.850140631198883
DATA,300
b0,3.274487070960714e-06,3.877791967833929e-06,1.730893217470635e-06,8.883172256265278e-06,15.110587892821059
b1,5.75283553362619e-06,4.5841345415714285e-06,1.8968333726718254e-06,1.2233803447869443e-05,15.26273142779246
b2,8.955701681169643e-06,4.615178719778571e-06,1.938970083193155e-06,1.5509850484141368e-05,15.186441833619028
b3,1.1888620561904764e-05,4.855114670971428e-06,2.591985292614683e-06,1.9335720525490872e-05,15.193266885355115
b4,1.5796646789925596e-05,5.078015087678571e-06,2.8105301132043652e-06,2.3685191990808533e-05,15.231771169928834
b5,2.018325141672857e-05,5.63748735225e-06,2.7283305479660717e-06,2.8549069316944644e-05,15.274325464153662
b6,2.4995605538895834e-05,6.0248751348625e-06,3.2139793297076384e-06,3.4234460003465974e-05,15.286202965071425
b7,3.0600282526209525e-05,6.257624380152381e-06,3.34807582909127e-06,4.020598273545318e-05,15.346227476838976
b8,3.489849456983035e-05,6.490861830675e-06,3.183482580684821e-06,4.457283898119018e-05,15.36608021799475
b9,3.888957583095238e-05,7.023976650059525e-06,1.4710905296468253e-06,4.738464301065873e-05,15.779348458629102
DATA,350
b0,3.5567174939107146e-06,4.077595677079762e-06,2.017073584572619e-06,9.651386755563095e-06,17.73109918180853
b1,6.801305183519047e-06,4.634874067192857e-06,1.8719620707015873e-06,1.330814132141349e-05,17.757045219885185
b2,1.061716216749643e-05,4.706763207830357e-06,2.324997469605357e-06,1.7648922844932143e-05,17.908050999278203
b3,1.4458347244980953e-05,4.781839541266666e-06,2.0849536956539685e-06,2.132514048190159e-05,17.873669255990535
b4,1.882301830123512e-05,5.080767478497023e-06,2.486301892776786e-06,2.6390087672508928e-05,17.86268432624638
b5,2.3851970521114282e-05,5.6479619594357135e-06,2.756509153793453e-06,3.225644163434345e-05,18.00191490491852
b6,3.0032195758833338e-05,6.1078579165041665e-06,3.422865605291667e-06,3.956291928062917e-05,17.92684340872802
b7,3.5093884382895236e-05,6.187200132342857e-06,1.2923859887658731e-06,4.257347050400396e-05,18.441638676449656
b8,4.001046347963572e-05,6.514925709214284e-06,1.8943176006107145e-06,4.841970678946072e-05,18.4654531176202
b9,4.458329769678571e-05,7.094521563392858e-06,3.670912332063492e-06,5.534873159224206e-05,18.061078580794856
DATA,400
b0,3.830109175945238e-06,4.1904873103791665e-06,1.7962351049636903e-06,9.816831591288095e-06,20.367789587937295
b1,7.384835321102382e-06,4.647654436883333e-06,1.762092431327381e-06,1.3794582189313096e-05,20.478322287788615
b2,1.1576120353617858e-05,4.765008287951786e-06,1.8261971750428573e-06,1.81673258166125e-05,20.416405715048313
b3,1.6608525488885713e-05,4.966904054447619e-06,2.9966793215226192e-06,2.457210886485595e-05,20.516638236818835
b4,2.1793918142723216e-05,5.045584643199405e-06,2.308589284352678e-06,2.91480920702753e-05,20.523126926040277
b5,2.754391559091429e-05,5.657557908107144e-06,1.993872380504762e-06,3.5195345879526196e-05,20.574782266514376
b6,3.3938298778008335e-05,6.0622858452625e-06,2.3855588450618056e-06,4.238614346833264e-05,21.120256148045883
b7,3.9952647473142856e-05,6.288890209447618e-06,3.2238507022460316e-06,4.946538838483651e-05,20.649684311822057
b8,4.491279250944107e-05,6.679922808005357e-06,3.6558818205133927e-06,5.524859713795982e-05,20.67279175063595
b9,4.9203664751904763e-05,7.2053009053571435e-06,3.6003036675823414e-06,6.0009269324844254e-05,20.729944847058505
DATA,450
b0,4.376270457186311e-06,4.165568703135119e-06,1.832276919028869e-06,1.0374116079350299e-05,22.786555763566867
b1,8.761423773000001e-06,4.62647904420238e-06,2.4185680399928575e-06,1.580647085719524e-05,22.809431171277538
b2,1.3609416505676787e-05,4.7652153409125e-06,2.1462622542113095e-06,2.05208941008006e-05,22.86274693859741
b3,1.885876510410476e-05,4.919743653209525e-06,2.3539155899059523e-06,2.6132424347220238e-05,22.89930705516599
b4,2.4735940054851188e-05,5.092295829122024e-06,2.117975825621528e-06,3.194621170959474e-05,22.99423704878427
b5,3.103489011878572e-05,5.599354127678572e-06,1.5512546746148811e-06,3.8185498921079175e-05,23.504250895231962
b6,3.807933923476666e-05,6.162346754608333e-06,2.82199212556875e-06,4.706367811494374e-05,23.075440761866048
b7,4.4570574980419046e-05,6.151731525142857e-06,3.7335421121309523e-06,5.445584861769286e-05,23.0775249034632
b8,4.967247285615536e-05,6.644113454941072e-06,3.0361128405535716e-06,5.935269915165001e-05,23.169045510003343
b9,5.406297055916666e-05,7.181383100297618e-06,3.7399632486676583e-06,6.498431690813194e-05,23.220727576175705
DATA,500
b0,4.712828353698214e-06,4.3052792852184526e-06,2.3312428282455355e-06,1.1349350467162203e-05,25.033593654399738
b1,9.649309388821429e-06,4.7464736752071424e-06,2.6468050828763892e-06,1.704258814690496e-05,25.044770031701773
b2,1.4934246151130357e-05,4.7340659269392846e-06,2.04525838073869e-06,2.171357045880833e-05,25.12360996962525
b3,2.1009435064152383e-05,4.861655733771428e-06,2.5391220189039684e-06,2.8410212816827777e-05,25.1489531674888
b4,2.7642282749702382e-05,5.122066275877976e-06,1.3905445239429564e-06,3.415489354952331e-05,25.723432590952143
b5,3.461532372362143e-05,5.731756599342857e-06,3.105051638114881e-06,4.3452131961079166e-05,25.277071277145296
b6,4.2119049208454166e-05,6.120403607704167e-06,3.2688381098624998e-06,5.150829092602083e-05,25.29503585002385
b7,4.84546387775238e-05,6.326783951047619e-06,3.4944575634746032e-06,5.8275880292046024e-05,25.397694858489558
b8,5.337719256725357e-05,6.608236747435714e-06,3.178778570145536e-06,6.316420788483481e-05,25.404773766873404
b9,5.93485356870238e-05,7.218682199821429e-06,4.404134834036706e-06,7.097135272088194e-05,25.47965324600227
DATA,750
b0,6.798640566153571e-06,4.3944333724327374e-06,2.736510110220734e-06,1.3929584048807042e-05,35.30448276246898
b1,1.4893411074780951e-05,4.700007700611905e-06,1.7061816631918652e-06,2.129960043858472e-05,36.00117337447591
b2,2.410127199255e-05,4.885345420226785e-06,2.9690028722619044e-06,3.195562028503869e-05,35.43930376158096
b3,3.210137790394286e-05,4.9749581468476185e-06,3.18204097095e-06,4.025837702174048e-05,35.485148219624534
b4,4.2295238855e-05,5.185611486904763e-06,2.7011680815897816e-06,5.018201842349455e-05,35.61141318897717
b5,5.199998295642856e-05,5.730436117007143e-06,4.166329745202976e-06,6.189674881863868e-05,35.625157666159794
b6,6.0936555706133345e-05,6.259187486883333e-06,4.9822038919138886e-06,7.217794708493056e-05,35.70042029558681
b7,6.672394136704762e-05,6.3516968299428586e-06,3.2129605108539685e-06,7.628859870784445e-05,36.39552252483554
b8,7.60256670349607e-05,6.947549991305358e-06,5.026603217370536e-06,8.79998202436366e-05,35.92742389556952
b9,8.360110685261904e-05,7.359044892440475e-06,4.204655794189484e-06,9.5164807539249e-05,36.01193419052288
DATA,1000
b0,8.802099332642263e-06,4.3961164977630955e-06,2.4386483895044648e-06,1.5636864219909822e-05,45.34013844374567
b1,2.0125710094969046e-05,4.7214268263238105e-06,2.0315142584934524e-06,2.687865117978631e-05,45.37513094651513
b2,3.09324862125e-05,4.8867831494517855e-06,1.5101803001017855e-06,3.7329449662053565e-05,45.64055326022208
b3,4.298561455919047e-05,4.947371411304762e-06,1.6565090932301585e-06,4.958949506372539e-05,45.634615438524634
b4,5.666017236690477e-05,5.246723525312499e-06,1.8318477530213292e-06,6.373874364523859e-05,46.22159533458762
b5,6.851673381227142e-05,5.847715129628572e-06,2.9617671056517852e-06,7.732621604755178e-05,45.92563308798708
b6,7.92216050387125e-05,6.380671402437499e-06,2.8190209478548607e-06,8.842129738900486e-05,46.069377096835524
b7,8.915614573257144e-05,6.651808877295237e-06,3.040593767922222e-06,9.88485483777889e-05,46.133160243975
b8,0.00010003292201351252,7.089316412560714e-06,3.3394899219276787e-06,0.00011046172834800091,46.42232817900367
b9,0.00010920254816666667,7.258500859464285e-06,4.550811672021825e-06,0.00012101186069815277,46.35017991135828
DATA,1250
b0,1.1192089351381546e-05,4.429312881141667e-06,2.595063831125e-06,1.8216466063648215e-05,54.490230535157025
b1,2.538671177471666e-05,4.775970545969048e-06,2.022998754881151e-06,3.218568107556686e-05,54.458014632808045
b2,3.87379497711e-05,4.800539907246429e-06,2.7304648288654765e-06,4.626895450721191e-05,54.48995732469484
